State,ST,County,Precincts,Votes,Democrats 08 (Votes),Democrats 12 (Votes),Republicans 08 (Votes),Republicans 12 (Votes),Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Republicans 2012,Republicans 2008,Democrats 2012,Democrats 2008,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White,Black,Hispanic,Asian,Amerindian,Other,White  Asian,Sire Homogeneity,Median Age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,CA,S,MAR,CFS,ACFS,Mean Alc,Max Alc,Mixedness,elevation,Annual Prcp,Winter Prcp,Summer Prcp,Spring Prcp,Autumn Prcp,Annual Tavg,Annual Tmax,Annual Tmin,Winter Tavg,Winter Tmax,Winter Tmin,Summer Tavg,Summer Tmax,Summer Tmin,Spring Tavg,Spring Tmax,Spring Tmin,Autumn Tavg,Autumn Tmax,Autumn Tmin,Nearest County,temp,precip,Temp Bins,Lat Bins,Lon Bins,Precip Bins,Elevation Bins,Name 16,reporting,Votes16 Trumpd,Votes16 Clintonh
Alaska,AK,"Haines Borough, Alaska",,,,,,,,,,,,,,,6.0,94.0,33.1,11.7,85.9,21968.40254,82.95,0.4,7.7,0.25,6.2,2.55,12.6,0.0,2466,100.0,5.9,0.41000000000000000,19.1,16.45,2.2,12.3,9.1,82.95,0.4,2.55,0.25,7.7,6.2,83.2,0.69851575,49.6,-135.5781024,59.0999054,3.1,2.0,,,0.196,0.14100000000000000,0.296,0.083,195.8,,0.28200000000000000,0.081,541.11,,,,0.123190006129525,0.773286439842049,1.06341088940769,2.71712773107224E-05,2.71712773107224E-05,0.00031533848707900000,0.001443415689415,0.637530345319807,93.1666666666667,5382.66666666667,1831.66666666667,612.0,839.666666666667,2099.33333333333,397.333333333333,466.0,328.666666666667,233.333333333333,286.666666666667,180.0,567.333333333333,649.666666666667,484.333333333333,393.333333333333,474.0,312.333333333333,392.333333333333,449.666666666667,335.333333333333,2100,4.2962962962963,1367.19733333333,"-10.1,6.44",,"[-164,-109]","(1.27e+03,1.39e+03]","(38.9,105]",,,,
Nebraska,NE,"Red Willow County, Nebraska",13,5061,1216,952,3735,3891,83.22465915826910,12.60620430744910,0.513732463939932,3.65540407034183,78.8290113452188,74.04837430610630,19.286871961102100,24.107850911974600,8.3,91.7,21.6,6.2,72.9,20965.324125,94.15,0.45,0.25,0.4,0.9,3.9,15.45,4.05,10905,50.8,9.75,0.4,18.45,26.65,2.0,9.5,16.6,94.15,0.45,3.9,0.4,0.25,0.9,94.55,0.88806675,42.9,-100.4685764,40.1694196,3.2,3.0,0.06,27.6,0.166,0.17500000000000000,0.302,0.097,99.7,,0.129,0.033,73.04,,74.1,,1.24304454982265,0.714329951038704,0.5744905279412830,-4.0889158393731E-05,4.0889158393731E-05,0.00017090574848600000,0.000597241746724,-0.251956396608855,779.366666666667,2146.0,139.666666666667,942.0,662.666666666667,401.666666666667,,,,,,,,,,,,,,,,31145,,545.084,,,"(-109,-100]","(444,628]","(572,1.01e+03]",Red Willow,13,4212,638
California,CA,"Del Norte County, California",18,9361,4323,3791,4967,4614,54.84456788804620,37.22892853327640,2.61724174767653,4.443969661360970,52.61117445838080,52.11415381387050,43.226909920182400,45.357255272269400,18.7,81.3,14.3,4.3,73.2,23797.859685,66.05,3.4,5.6,3.1,4.95,16.95,38.75,8.8,28669,58.1,20.7,0.448,29.9,24.45,3.5,7.05,7.05,66.05,3.4,16.95,3.1,5.6,4.95,69.15,0.47269375,37.9,-123.9809983,41.7499033,6.3,4.0,0.06,53.8,0.41600000000000000,0.203,0.255,0.088,202.4,139.6,0.17300000000000000,0.134,436.93,8.56,95.6,,-1.97790603474781,-0.828457716636215,0.9665437067800050,8.14340163035054E-05,8.14340163035054E-05,0.00011310863855,0.000430137747644,0.32691453046726400,57.4666666666667,7169.16666666667,3443.5,267.0,1831.66666666667,1627.0,,,,,,,,,,,,,,,,6015,,1820.96833333333,,,"[-164,-109]","(1.39e+03,4.3e+03]","(38.9,105]",Del Norte,18,5134,3485
Florida,FL,"Duval County, Florida",199,428734,202618,196737,210537,211615,48.99564765099110,47.49495024887230,0.670345715525244,2.591816837479650,51.38182047745770,50.638948819153300,47.76932266272990,48.734248763111500,12.8,87.2,24.9,8.0,73.85,30197.95873,58.0,28.85,0.30000000000000000,3.8,2.25,6.85,20.95,9.95,855324,53.9,13.75,0.45,16.65,30.0,0.1,9.8,10.45,58.0,28.85,6.85,3.8,0.30000000000000000,2.25,61.8,0.42628375,35.4,-81.6481132,30.3352449,3.9,3.8,0.09,47.6,0.40800000000000000,0.20400000000000000,0.28400000000000000,0.108,682.1,708.6,0.193,0.088,719.14,13.97,76.4,10.1,-0.284029790006816,-0.6033167836768240,0.907503816858589,7.17897190593009E-05,7.17897190593009E-05,9.11235194060028E-05,0.0005247341856820000,0.15282278172996600,11.34,,,,,,695.4,787.6,603.0,562.0,661.6,462.0,815.0,899.4,730.8,684.0,784.4,583.8,717.6,802.0,633.2,12031,20.8555555555556,,"18.5,25.2",,"(-82.1,-78.2]",,"[-12.3,38.9]",Duval,199,210061,203627
Kansas,KS,"Ellsworth County, Kansas",25,2626,851,702,2021,1930,73.6100533130236,19.611576542269600,2.7798933739527800,3.998476770754000,71.16519174041300,68.78829135466300,25.88495575221240,28.965282505105500,9.4,90.6,19.8,6.1,72.15,24146.331745,88.9,3.9,0.35000000000000000,0.45,1.6,4.8,6.1,14.6,6372,47.4,8.35,0.403,21.85,16.9,1.8,12.3,13.95,88.9,3.9,4.8,0.45,0.35000000000000000,1.6,89.35,0.794434499999999,42.9,-98.2053552,38.7008451,3.5,2.1,0.05,22.8,0.253,0.124,0.34,0.10200000000000000,77.1,87.5,0.138,0.033,218.79,,64.9,,1.30081274579891,0.5917963183115790,0.74622402814448,9.94452966629478E-06,9.94452966629478E-06,0.000172205116358,0.0007279829729030000,-0.181523266074607,485.866666666667,2829.0,247.666666666667,1132.33333333333,878.0,571.0,,,,,,,,,,,,,,,,20053,,718.566,,,"(-100,-96.7]","(628,818]","(396,572]",Ellsworth,25,1933,515
Kentucky,KY,"Cumberland County, Kentucky",10,3066,697,599,2056,2216,81.60469667318980,14.9706457925636,0.358773646444879,2.185257664709720,77.64540995094610,73.5073292813729,20.98808689558510,24.91955666785840,29.5,70.5,7.9,3.7,71.2,18503.494605,94.7,2.95,0.05,0.05,1.25,1.0,28.1,23.9,6844,0.0,25.75,0.419,17.6,22.1,1.3,14.75,19.15,94.7,2.95,1.0,0.05,0.05,1.25,94.75,0.897936,42.9,-85.3934992,36.7842273,6.4,5.0,0.12,57.3,0.453,0.27,0.342,0.133,146.4,,0.202,0.108,49.91,,155.8,,-0.726912966964892,-1.92024623280923,0.8723747025237080,-0.000110427460409,0.000110427460409,0.00037950310608000000,0.001653983663388,0.9510665783705740,195.1,5310.0,1380.0,1313.0,1472.0,1145.0,568.0,686.0,450.0,376.0,479.0,273.0,751.0,865.0,638.0,564.0,686.0,442.0,577.0,710.0,445.0,21057,13.7777777777778,1348.74,"13.6,14.9",,"(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]",Cumberland,10,2502,459
Michigan,MI,"Presque Isle County, Michigan",17,7215,3722,3192,3606,3794,62.17602217602220,33.264033264033300,0.693000693000693,3.2848232848232900,53.58757062146890,48.04796802131910,45.08474576271190,49.59360426382410,14.7,85.3,14.3,4.7,76.55,21330.295555,97.05,0.30000000000000000,0.7000000000000000,0.2,1.0,0.75,18.9,7.15,13559,42.5,12.0,0.402,17.6,23.7,3.65,13.85,15.1,97.05,0.30000000000000000,0.75,0.2,0.7000000000000000,1.0,97.25,0.9420885,50.5,-83.3840186,45.4895147,7.1,2.6,0.07,23.1,0.308,0.159,0.333,0.135,68.4,,0.162,0.14,145.84,,87.6,,-0.521800163798754,-0.190422863070787,0.865160305563694,0.00011355183420000000,0.00011355183420000000,0.000136013377317,0.001189790209012,0.40790382040772500,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-84.5,-82.1]",,,Presque Isle,17,4486,2400
Missouri,MO,"Webster County, Missouri",13,16690,5685,4409,10431,10708,76.86638705811860,19.01138406231280,0.509286998202516,3.079688436189340,69.40177587659600,63.77476155539250,28.576058072461000,34.757887013939800,17.8,82.2,14.7,5.5,68.8,23517.57397,95.0,1.05,0.6000000000000000,0.15,1.5,1.7000000000000000,34.05,12.3,35918,25.2,17.85,0.405,13.0,27.35,0.85,15.75,19.6,95.0,1.05,1.7000000000000000,0.15,0.6000000000000000,1.5,95.15,0.9031625,37.1,-92.8760795,37.2808043,3.3,3.9,0.07,44.8,0.23800000000000000,0.17300000000000000,0.322,0.111,167.4,71.3,0.219,0.069,102.15,,75.2,6.7,0.5387850738252730,-0.325354055121006,0.741681367706981,3.78021402067663E-05,3.78021402067663E-05,3.69123833366068E-05,0.00011064483947100000,-0.35358583760447300,454.2,4476.0,818.0,1155.0,1288.0,1215.0,551.0,660.0,442.0,335.0,441.0,228.0,754.0,859.0,648.0,547.0,661.0,432.0,566.0,676.0,455.0,29225,12.8333333333333,1136.904,"12.0,13.6",,"(-93.6,-90.4]","(1.12e+03,1.19e+03]","(396,572]",Webster,13,12829,3173
Illinois,IL,"Hamilton County, Illinois",16,4143,1796,1269,2353,2566,77.35940139995170,19.309678976587000,0.57929036929761,2.751629254163650,65.1103780766303,55.1829268292683,32.19994925145900,42.12007504690430,19.2,80.8,12.7,5.6,71.2,21976.02984,97.2,0.2,0.15,0.1,0.85,1.5,32.75,8.4,8321,42.4,12.95,0.458,18.1,19.45,0.2,12.2,23.25,97.2,0.2,1.5,0.1,0.15,0.85,97.3,0.9450885,42.3,-88.5390048,38.085226,,,0.09,43.1,0.313,,0.291,0.098,59.3,,0.136,0.078,53.67,,73.3,,0.44495740333145800,-0.349450829834618,0.59939207038518,3.07869549519557E-05,3.07869549519557E-05,2.99575875528864E-05,0.00012112018575000000,-0.5882574469792780,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-90.4,-87.2]",,,Hamilton,16,3205,800
Illinois,IL,"Monroe County, Illinois",37,19074,7953,6215,9881,10888,66.1319073083779,28.95040369088810,1.048547761350530,3.869141239383450,62.45984396512160,54.642481889067100,35.652822395594300,43.98053420339550,9.0,91.0,24.7,8.4,82.95,36472.25397,97.0,0.30000000000000000,0.2,0.35000000000000000,0.9,1.35,6.3,2.25,32657,62.1,4.25,0.386,16.25,25.75,0.30000000000000000,12.85,11.0,97.0,0.30000000000000000,1.35,0.35000000000000000,0.2,0.9,97.35,0.9411885,40.1,-90.1790777,38.2779831,3.5,4.1,0.07,13.6,0.18,,0.293,0.094,120.1,46.8,0.082,0.07,53.02,,57.4,,1.3914232421334,1.13753065808949,0.61524610230546,-0.000112075382202,0.000112075382202,0.00023187712610300000,0.0006576725462690000,0.293763369888607,162.3,4279.5,809.5,1129.5,1235.5,1105.0,,,,,,,,,,,,,,,,17133,,1086.993,,,"(-90.4,-87.2]","(1.03e+03,1.12e+03]","(105,167]",Monroe,37,12614,5522
